French,English
le,the
de,of
un,a
à,at
être,be
et,and
en,in
avoir,have
que,that
pour,for
dans,in
ce,this
il,he
qui,who
ne,not
sur,on
se,se
pas,not
plus,more
pouvoir,power
par,by
je,i
avec,with
tout,everything
faire,to do
son,his
mettre,put
autre,other
on,we
mais,but
nous,we
comme,as
ou,where
si,if
leur,their
y,y
dire,say
elle,she
devoir,to have to
avant,before
deux,of them
même,same
prendre,take
aussi,too
celui,the one
donner,give
bien,good
où,where
fois,time
vous,you
encore,again
nouveau,new
aller,go
cela,that
entre,between
premier,first
vouloir,want to
déjà,already
grand,big
mon,my
moins,less
aucun,none
lui,him
temps,time
très,very
savoir,to know
falloir,to need
voir,see
quelque,some
sans,without
raison,raison
notre,our
dont,whose
non,nope
an,year
monde,world
jour,day
monsieur,sir
demander,ask
alors,then
après,after
trouver,to find
personne,nobody
rendre,to return
part,go
dernier,last
venir,come
pendant,during
passer,pass
peu,little
lequel,which
suite,after
bon,well
comprendre,to understand
depuis,from
point,point
ainsi,thus
heure,hour
rester,stay
seul,only
année,year
toujours,still
tenir,hold
porter,carry
parler,talk
fort,strong
montrer,to show
là,the
certain,certain
fin,end
tu,you
continuer,continue
pays,country
trois,three
penser,think
lieu,venue
partie,part
quand,when
suivre,follow
contre,versus
sous,under
côté,side
ensemble,together
chose,thing
enfant,child
cause,cause
politique,politics
place,square
seulement,only
moi,me
vie,life
connaître,to know
jusque,until
croire,to believe
homme,man
cas,case
petit,little
commencer,begin
compter,count
fait,do
tel,phone
droit,right
question,question
donc,so
quel,what
général,general
moment,moment
entendre,to hear
beaucoup,a lot
chaque,each
jeune,young
travail,work
femme,women
attendre,expect
remettre,to put back
appeler,to call
permettre,allow
occuper,to occupy
gouvernement,government
eux,them
devenir,become
partir,leave
plan,plan
décider,decide
soit,that is
ici,here
rien,nothing
cours,classes
affaire,affair
nom,name
famille,family
effet,effect
arriver,to arrive
possible,possible
car,because
servir,to serve
mois,month
jamais,never
sembler,seem
tant,so much
vers,towards
besoin,need
revenir,come back
dès,of the
moyen,medium
groupe,band
problème,problem
rapport,report
peut-être,maybe
vue,seen
maintenant,now
pourquoi,why
meilleur,better
trop,too
laisser,let
ordre,order
devant,before
recevoir,receive
répondre,answer
vivre,live
long,long
service,service
ministre,minister
face,face
chez,at the house of
te,you
rappeler,recall
présenter,to present
accepter,accept
agir,to act
simple,simple
plusieurs,various
votre,your
important,important
présent,here
mieux,better
poser,to pose
jouer,to play
mot,word
reconnaître,recognize
force,strength
situation,situation
offrir,to offer
près,close
choisir,choose
national,national
projet,project
ni,neither
puis,then
toucher,to touch
train,train
aujourd'hui,today
comment,how? 'or' what
surtout,above all
gens,people
propre,own
grâce,grace
idée,idea
selon,according
région,region
aimer,to like
sens,meaning
retrouver,to regain
semaine,week
également,also
ci,this
façon,way
